,cif,pld,lcd,asa,av,psd mean,psd std,n_paths,paths mean,paths std,xdim,ydim,zdim
NES,NES,1.9931640625,7.059745037889117,21030.600000000006,12383.240000000003,1.9885474852860652,0.7418320318173647,0.0,nan,nan,51.1,28.1,44.7
NON,NON,2.0986328125,6.273754856543249,12068.780000000002,4386.545000000001,1.6324003374542386,0.567049798255453,1664.0,2.139610972843243,0.45934067714875043,44.4,30.5,27.7
NPO,NPO,4.2080078125,4.48998886412873,827.6600000000002,189.65100000000004,1.40962734454537,0.35419855738634703,48.0,2.1266656713534062,0.5215212395527907,16.2,14.1,10.5
NPT,NPT,3.6806640625,10.067770358922576,9154.670000000002,4450.730000000001,2.1676030069302055,0.5934708840542781,1817.0,1.5623987976147582,0.1139123756055959,27.6,27.7,25.9
OBW,OBW,3.6806640625,9.308061022576076,21924.190000000006,13731.398000000003,2.343201449613404,0.8187028268963887,8352.0,1.337100470444061,0.07555823173661842,27.7,27.7,61.7
OFF,OFF,6.3876953125,6.867313885355759,2378.3900000000003,1248.2400000000002,2.1271986395049414,0.6694889882660902,117.0,2.093829500897552,0.6005390911676287,24.5,21.2,13.9
OKO,OKO,3.7861328125,7.079548008171143,10020.960000000003,6150.567000000002,2.2638281166643957,0.697012995900594,96.0,1.6560747433523157,0.35529276642851215,48.6,28.1,23.5
OSI,OSI,6.4580078125,6.696267617113283,4825.000000000001,1757.8500000000004,1.718197525136067,0.657690004456218,1008.0,3.2388619841524595,1.1670998379063777,37.0,37.0,10.3
OSO,OSO,6.0185546875,6.54217089351845,2495.6900000000005,1259.1070000000002,1.977495138146108,0.6286216290596034,640.0,1.839566171290062,0.4339097098960974,20.9,17.0,14.7
OWE,OWE,1.8525390625,5.646237685397241,2048.7000000000003,678.4330000000001,1.6138669557967058,0.4315484031382068,0.0,nan,nan,28.9,14.6,16.3
PCR,PCR,3.8388671875,6.013318551349164,5999.700000000001,2507.8910000000005,1.894458992712163,0.4925002439041729,126.0,1.5571017007758152,0.301355705006239,40.4,26.9,22.3
PHI,PHI,3.3994140625,5.531726674375732,5527.450000000001,2137.4920000000006,1.7920650478393225,0.39687561361715407,136.0,1.9184444886020662,0.3940951402899684,18.3,26.8,28.3
